"event_id,user_id,event_type,event_intensity,event_recency_days,description"
"101,1,Work_Stress,4,3,""Tight deadline and late nights for product launch"""
"102,1,Financial_Decision,3,15,""Considering switching job for higher salary"""
"103,2,Family_Conflict,2,7,""Minor disagreement with spouse about work life balance"""
"104,2,Career_Opportunity,4,20,""Offered a lateral move to a new brand team"""
"105,3,Health_Concern,5,5,""Doctor advised to reduce blood pressure and stress"""
"106,4,Exam_Pressure,4,10,""Upcoming entrance exam causing anxiety"""
"107,4,Social_Isolation,3,30,""Moved to a new city and has few friends"""
"108,5,Career_Opportunity,5,2,""Shortlisted for leadership training program"""
"109,6,Financial_Decision,2,25,""Thinking of starting a side hustle"""
"110,7,Family_Responsibility,4,12,""Caring for aging parent at home"""
"111,8,Work_Stress,3,4,""Monthly sales target pressure"""
"112,9,Relationship_Issue,3,18,""Frequent arguments with partner about priorities"""
"113,10,Life_Direction_Doubt,4,6,""Unsure whether to continue freelancing or take full time job"""
